pitch_w,pitch,start,measure
C3,60,0,1
E3,64,0,1
D3,62,1,1
F3,65,1,1
E3,64,2,1
G3,67,2,1
F3,65,3,1
A3,69,3,1
G3,67,0,2
H3,71,0,2
A3,69,1,2
C4,72,1,2
H3,71,2,2
D4,74,2,2
C4,72,3,2
E4,76,3,2
D4,74,0,3
F4,77,0,3
E4,76,1,3
G4,79,1,3
F4,77,2,3
A4,81,2,3
G4,79,3,3
H4,83,3,3
E3,64,0,4
C4,72,0,4
F3,65,1,4
D4,74,1,4
G3,67,2,4
E4,76,2,4
A3,69,3,4
F4,77,3,4
H3,71,0,5
G4,79,0,5
C4,72,1,5
A4,81,1,5
D4,74,2,5
H4,83,2,5
E4,76,3,5
C5,84,3,5
