pitch,start,duration,beat_type,string,position,finger
60,0,0.5,4,1,1,3
64,0,0.5,4,2,1,1
62,1,0.5,4,1,1,4
65,1,0.5,4,2,1,2
64,2,0.5,4,1,3,3
67,2,0.5,4,2,3,1
65,3,0.5,4,2,3,4
69,3,0.5,4,3,3,2
67,4,0.5,4,2,1,3
71,4,0.5,4,3,1,1
69,5,0.5,4,2,1,4
72,5,0.5,4,3,1,2
71,6,0.5,4,2,3,3
74,6,0.5,4,3,3,1
72,7,0.5,4,3,3,4
76,7,0.5,4,4,3,2
74,8,0.5,4,3,1,3
77,8,0.5,4,4,1,1
76,9,0.5,4,3,1,4
79,9,0.5,4,4,1,2
77,10,0.5,4,3,3,3
81,10,0.5,4,4,3,1
79,11,0.5,4,3,3,4
83,11,0.5,4,4,3,2
64,12,0.5,4,2,1,1
72,12,0.5,4,3,1,2
65,13,0.5,4,2,1,2
74,13,0.5,4,3,1,3
67,14,0.5,4,2,3,1
76,14,0.5,4,3,3,2
69,15,0.5,4,3,3,2
77,15,0.5,4,4,3,3
71,16,0.5,4,3,1,1
79,16,0.5,4,4,1,2
72,17,0.5,4,3,1,2
81,17,0.5,4,4,1,3
74,18,0.5,4,3,3,1
83,18,0.5,4,4,3,2
76,19,0.5,4,3,3,2
84,19,0.5,4,4,3,3
