sound_num,pitch,string,position,finger
0,76,a,1,4
1,81,e,1,3
2,76,a,3,2
2,85,e,3,3
3,81,e,1,3
4,85,e,3,3
5,76,a,4,1
5,88,e,4,4
6,81,e,1,3
7,76,a,3,2
7,80,e,3,1
8,86,e,3,4
9,85,e,3,3
10,72,a,1,2
11,71,a,1,1
12,69,d,1,4
13,68,d,1,3
14,69,d,1,4
15,72,a,1,2
16,69,d,1,4
17,76,a,1,4
18,72,a,1,2
19,77,e,1,1
20,77,e,1,1
21,74,a,1,3
22,71,a,1,1
23,76,a,1,4
24,76,a,1,4
25,74,a,1,3
26,72,a,1,2
27,71,a,1,1
28,74,a,1,3
29,72,a,1,2
30,71,a,1,1
31,69,d,1,4
32,68,d,1,3
33,71,a,1,1
34,76,a,1,4
35,74,a,1,3
36,74,a,1,3
37,72,a,1,2
38,71,a,1,1
39,69,d,1,4
40,68,d,1,3
41,69,d,1,4
42,81,e,1,3
43,81,e,1,3
44,80,e,1,2
45,81,e,1,3
46,84,e,3,3
47,78,e,1,1
48,81,e,1,3
49,74,a,1,3
50,76,a,1,4
51,78,e,1,1
52,79,e,1,2
53,80,e,1,2
54,81,e,1,3
55,57,g,1,1
56,62,g,1,4
57,65,d,1,2
58,59,g,1,2
59,60,g,1,3
60,59,g,1,2
61,60,g,1,3
62,62,g,1,4
63,64,d,1,1
64,65,d,1,2
65,62,g,1,4
66,64,d,1,1
67,60,g,1,3
68,57,g,1,1
69,57,g,1,1
70,60,g,1,3
71,60,g,1,3
72,65,d,1,2
73,65,d,1,2
74,59,g,1,2
75,64,d,1,1
76,64,d,1,1
77,57,g,1,1
78,62,g,1,4
79,62,g,1,4
80,66,d,1,2
81,67,d,1,3
82,69,d,1,4
83,62,g,1,4
84,79,e,1,2
85,69,d,1,4
86,79,e,1,2
87,78,e,1,1
88,69,d,1,4
89,67,d,1,3
90,78,e,1,1
91,76,a,1,4
92,67,d,1,3
93,66,d,1,2
94,72,a,1,2
95,71,a,1,1
96,69,d,1,4
97,69,d,1,4
98,66,d,1,2
99,67,d,1,3
100,68,d,1,3
101,71,a,1,1
102,74,a,1,3
103,77,e,1,1
104,76,a,1,4
105,74,a,1,3
106,74,a,1,3
107,72,a,1,2
108,71,a,1,1
109,72,a,1,2
110,71,a,1,1
111,72,a,1,2
112,74,a,1,3
113,70,a,1,1
114,76,a,1,4
115,69,d,1,4
116,77,e,1,1
117,68,d,1,3
118,68,d,1,3
119,69,d,1,4
120,64,d,1,1
121,60,g,1,3
122,57,g,1,1
123,61,g,1,3
124,63,d,1,1
125,66,d,1,2
126,64,d,1,1
127,69,d,1,4
128,67,d,1,3
129,59,g,1,2
130,57,g,1,1
131,69,d,1,4
132,66,d,1,2
133,72,a,1,2
134,72,a,1,2
135,69,d,1,4
136,72,a,1,2
137,71,a,1,1
138,71,a,1,1
139,59,g,1,2
140,62,g,1,4
141,60,g,1,3
142,60,g,1,3
143,59,g,1,2
144,57,g,1,1
145,56,g,1,1
146,56,g,1,1
147,68,d,1,3
148,69,d,1,4
149,71,a,1,1
150,72,a,1,2
151,69,d,1,4
152,69,d,1,4
153,69,d,1,4
154,68,d,1,3
155,69,d,1,4
156,77,e,1,1
157,74,a,1,3
158,70,a,1,1
159,65,d,1,2
160,74,a,1,3
161,77,e,1,1
162,75,a,1,3
163,77,e,1,1
164,72,a,1,2
165,77,e,1,1
166,77,e,1,1
167,70,a,1,1
168,82,e,1,3
169,86,e,3,4
170,84,e,3,3
171,86,e,3,4
172,81,e,1,3
173,86,e,3,4
174,86,e,3,4
175,79,e,1,2
176,82,e,1,3
177,86,e,3,4
178,84,e,3,3
179,86,e,3,4
180,81,e,1,3
181,86,e,3,4
182,86,e,3,4
183,79,e,1,2
184,70,a,1,1
185,74,a,1,3
186,72,a,1,2
187,74,a,1,3
188,69,d,1,4
189,74,a,1,3
190,70,a,1,1
191,74,a,1,3
192,79,e,1,2
193,81,a,4,4
193,82,e,4,1
194,87,e,4,3
195,81,a,7,1
195,91,e,7,3
196,86,e,3,4
197,89,a,9,4
197,76,e,9,0
198,83,e,1,4
199,86,e,3,4
200,82,e,1,3
201,86,e,3,4
202,82,e,1,3
203,86,e,3,4
204,64,d,1,1
205,64,d,1,1
206,66,d,1,2
207,68,d,1,3
208,69,d,1,4
209,71,a,1,1
210,73,a,1,2
211,73,a,1,2
212,74,a,1,3
213,73,a,1,2
214,73,a,1,2
215,71,a,1,1
216,70,a,1,1
217,71,a,1,1
218,66,d,1,2
219,68,d,1,3
220,71,a,1,1
221,69,d,1,4
222,64,d,1,1
223,64,d,1,1
224,69,d,1,4
225,71,a,1,1
226,73,a,1,2
227,74,a,1,3
228,76,a,1,4
229,76,a,1,4
230,78,e,1,1
231,73,a,1,2
232,74,a,1,3
233,76,a,1,4
234,71,a,1,1
235,73,a,1,2
236,76,a,1,4
237,74,a,1,3
238,73,a,1,2
239,71,a,1,1
240,66,d,1,2
241,63,d,1,1
242,59,g,1,2
243,66,d,1,2
244,63,d,1,1
245,59,g,1,2
246,68,d,1,3
247,64,d,1,1
248,59,g,1,2
249,68,d,1,3
250,64,d,1,1
251,59,g,1,2
252,69,d,1,4
253,66,d,1,2
254,59,g,1,2
255,69,d,1,4
256,66,d,1,2
257,59,g,1,2
258,68,d,1,3
258,71,a,1,1
259,68,d,1,3
260,64,d,1,1
261,71,a,1,1
262,68,d,1,3
263,64,d,1,1
264,73,a,1,2
265,64,d,1,1
266,69,d,1,4
267,59,g,1,2
268,69,d,1,4
269,69,d,1,4
270,69,d,1,4
271,61,g,1,3
272,64,d,1,1
273,59,g,1,2
274,64,d,1,1
275,61,g,1,3
276,73,a,1,2
277,71,a,1,1
278,70,a,1,1
279,71,a,1,1
280,71,a,1,1
281,70,a,1,1
282,71,a,1,1
283,71,a,1,1
284,71,a,1,1
285,73,a,1,2
286,75,a,1,3
287,76,a,1,4
