sound_num,pitch,string,position,finger
1,79,e,1,2
2,83,e,1,4
3,81,e,1,3
4,79,e,1,2
5,79,e,1,2
6,76,d,5,4
6,79,a,5,2
6,76,e,5,0
7,79,e,1,2
8,76,a,1,4
9,73,a,1,2
10,74,a,1,3
11,74,a,1,3
13,69,g,8,1
13,69,d,1,4
14,74,a,1,3
15,71,a,1,1
16,74,a,1,3
17,72,a,1,2
18,72,a,1,2
19,78,e,1,1
20,76,a,1,4
21,78,e,1,1
22,79,e,1,2
23,81,e,1,3
24,83,e,1,4
25,79,e,1,2
26,74,a,1,3
27,76,a,1,4
28,78,e,1,1
29,79,e,1,2
30,76,a,1,4
31,72,a,1,2
32,69,d,1,4
32,71,a,1,1
33,71,a,1,1
34,72,a,1,2
35,73,a,1,2
36,74,a,1,3
37,74,a,1,3
38,79,e,1,2
39,83,e,1,4
40,81,e,1,3
41,79,e,1,2
42,79,e,1,2
43,76,d,5,4
43,79,a,5,2
43,76,e,5,0
44,79,e,1,2
45,76,a,1,4
46,73,a,1,2
47,74,a,1,3
48,74,a,1,3
49,74,a,1,3
49,79,e,1,2
50,76,a,1,4
51,74,a,1,3
52,73,a,1,2
53,81,e,1,3
54,78,e,1,1
55,76,a,1,4
56,74,a,1,3
57,71,a,1,1
58,83,e,1,4
59,81,e,1,3
60,79,e,1,2
61,78,e,1,1
62,76,a,1,4
63,74,a,1,3
64,73,a,1,2
65,78,e,1,1
66,81,e,1,3
67,83,e,1,4
68,81,e,1,3
69,83,e,1,4
70,81,e,1,3
71,86,e,3,4
72,81,e,1,3
73,83,e,1,4
74,81,e,1,3
75,83,e,1,4
76,81,e,1,3
77,88,e,5,3
78,81,e,1,3
79,83,e,1,4
80,81,e,1,3
81,83,e,1,4
82,81,e,1,3
83,76,a,1,4
84,81,e,1,3
85,78,e,1,1
86,81,e,1,3
87,79,e,1,2
88,81,e,1,3
89,78,e,1,1
90,81,e,1,3
91,83,e,1,4
92,81,e,1,3
93,83,e,1,4
94,81,e,1,3
95,86,e,3,4
96,81,e,1,3
97,83,e,1,4
98,81,e,1,3
99,83,e,1,4
100,81,e,1,3
101,88,e,5,3
102,81,e,1,3
103,83,e,1,4
104,81,e,1,3
105,83,e,1,4
106,81,e,1,3
107,76,a,1,4
108,81,e,1,3
109,78,e,1,1
110,81,e,1,3
111,79,e,1,2
112,81,e,1,3
113,78,e,1,1
114,81,e,1,3
115,86,e,3,4
116,78,e,1,1
117,76,a,1,4
118,85,e,3,3
119,74,a,1,3
120,83,e,1,4
121,73,a,1,2
122,81,e,1,3
123,71,a,1,1
124,79,e,1,2
125,69,d,1,4
126,78,e,1,1
127,67,d,1,3
128,76,a,1,4
129,66,d,1,2
130,74,a,1,3
131,64,d,1,1
132,73,a,1,2
133,57,g,1,1
134,67,d,1,3
135,62,g,1,4
136,66,d,1,2
138,71,g,9,1
138,71,a,1,1
139,70,a,1,1
140,71,a,1,1
141,70,a,1,1
142,71,a,1,1
143,86,e,3,4
144,85,e,3,3
145,86,e,3,4
146,85,e,3,3
147,86,e,3,4
148,69,d,1,4
148,76,a,1,4
149,74,a,1,3
150,76,a,1,4
151,78,e,1,1
152,81,e,1,3
153,86,e,3,4
154,78,e,1,1
155,76,a,1,4
156,85,e,3,3
157,74,a,1,3
158,83,e,1,4
159,73,a,1,2
160,81,e,1,3
161,71,a,1,1
162,79,e,1,2
163,69,d,1,4
164,78,e,1,1
165,67,d,1,3
166,76,a,1,4
167,66,d,1,2
168,74,a,1,3
169,64,d,1,1
170,73,a,1,2
171,57,g,1,1
172,67,d,1,3
173,62,g,1,4
174,66,d,1,2
176,71,g,9,1
176,71,a,1,1
177,70,a,1,1
178,71,a,1,1
179,70,a,1,1
180,71,a,1,1
181,86,e,3,4
182,85,e,3,3
183,86,e,3,4
184,85,e,3,3
185,86,e,3,4
186,69,d,1,4
186,76,a,1,4
187,74,a,1,3
188,76,a,1,4
189,74,a,1,3
190,76,a,1,4
191,78,e,1,1
192,79,e,1,2
193,81,e,1,3
194,83,e,1,4
196,79,e,2,1
196,79,e,1,2
197,76,a,1,4
198,74,a,1,3
199,76,a,1,4
200,78,e,1,1
201,79,e,1,2
202,81,e,1,3
203,83,e,1,4
205,79,e,2,1
205,79,e,1,2
206,76,a,1,4
207,74,a,1,3
208,78,e,1,1
209,74,a,1,3
210,81,e,1,3
211,78,e,1,1
212,74,a,1,3
213,81,e,1,3
214,81,e,1,3
215,81,e,1,3
216,81,e,1,3
217,81,e,1,3
218,81,e,1,3
220,61,g,4,1
220,61,g,1,3
221,62,g,1,4
222,66,d,1,2
223,61,g,1,3
224,62,g,1,4
225,69,d,1,4
226,61,g,1,3
227,62,g,1,4
228,64,d,1,1
229,66,d,1,2
230,67,d,1,3
231,68,d,1,3
232,69,d,1,4
233,70,a,1,1
234,71,a,1,1
235,72,a,1,2
236,73,a,1,2
237,62,g,1,4
238,74,a,1,3
239,74,a,1,3
240,72,a,1,2
241,69,d,1,4
242,69,d,1,4
243,67,d,1,3
244,67,d,1,3
245,67,d,1,3
246,64,d,1,1
247,76,a,1,4
248,76,a,1,4
249,72,a,1,2
250,69,d,1,4
251,67,d,1,3
252,66,d,1,2
253,66,d,1,2
254,66,d,1,2
255,67,d,1,3
256,62,g,1,4
257,71,a,1,1
258,69,d,1,4
259,62,g,1,4
260,72,a,1,2
261,71,a,1,1
262,62,g,1,4
263,74,a,1,3
264,71,a,1,1
265,69,d,1,4
267,76,g,12,1
267,76,a,1,4
268,79,e,1,2
269,79,e,1,2
270,78,e,1,1
271,78,e,1,1
273,83,d,12,1
273,83,e,1,4
274,81,e,1,3
275,78,e,1,1
276,79,e,1,2
277,79,e,1,2
279,78,e,1,1
279,78,e,1,2
280,79,e,1,2
281,79,e,1,2
282,79,e,1,2
284,78,e,1,1
284,78,e,1,2
285,76,a,1,4
286,76,a,1,4
287,76,a,1,4
289,83,d,12,1
289,83,e,1,4
290,82,e,1,3
291,83,e,1,4
292,82,e,1,3
293,83,e,1,4
294,71,a,1,1
295,81,e,1,3
296,80,e,1,2
297,81,e,1,3
298,80,e,1,2
299,81,e,1,3
300,79,e,1,2
301,83,e,1,4
302,81,e,1,3
303,79,e,1,2
304,78,e,1,1
305,76,a,1,4
306,75,a,1,3
307,72,a,1,2
308,71,a,1,1
309,69,d,1,4
310,67,d,1,3
311,66,d,1,2
312,67,d,1,3
313,71,a,1,1
314,69,d,1,4
315,67,d,1,3
316,66,d,1,2
317,64,d,1,1
318,72,a,1,2
319,71,a,1,1
320,69,d,1,4
321,67,d,1,3
322,66,d,1,2
323,64,d,1,1
324,63,d,1,1
325,64,d,1,1
326,66,d,1,2
327,67,d,1,3
328,66,d,1,2
329,67,d,1,3
330,66,d,1,2
330,71,a,1,1
331,83,e,1,4
332,82,e,1,3
333,83,e,1,4
334,82,e,1,3
335,83,e,1,4
336,71,a,1,1
337,81,e,1,3
338,80,e,1,2
339,81,e,1,3
340,80,e,1,2
341,81,e,1,3
342,79,e,1,2
343,83,e,1,4
344,81,e,1,3
345,79,e,1,2
346,78,e,1,1
347,76,a,1,4
348,75,a,1,3
349,72,a,1,2
350,71,a,1,1
351,69,d,1,4
352,67,d,1,3
353,66,d,1,2
354,67,d,1,3
355,71,a,1,1
356,69,d,1,4
357,67,d,1,3
358,66,d,1,2
359,64,d,1,1
360,72,a,1,2
361,71,a,1,1
362,69,d,1,4
363,67,d,1,3
364,66,d,1,2
365,64,d,1,1
366,63,d,1,1
367,66,d,1,2
368,67,d,1,3
369,68,d,1,3
370,69,d,1,4
371,70,a,1,1
373,76,g,12,1
373,76,a,1,4
374,79,e,1,2
375,79,e,1,2
376,78,e,1,1
377,78,e,1,1
379,83,d,12,1
379,83,e,1,4
380,81,e,1,3
381,78,e,1,1
382,79,e,1,2
383,79,e,1,2
384,77,a,2,4
384,79,e,2,1
385,76,a,1,4
386,77,e,1,1
387,77,e,1,1
388,77,e,1,1
389,76,g,9,4
389,77,d,9,1
389,84,a,9,2
389,76,e,9,0
390,79,e,1,2
391,78,e,1,1
392,76,a,1,4
393,75,a,1,3
395,76,g,12,1
395,76,a,1,4
396,77,e,1,1
397,77,e,1,1
398,77,e,1,1
400,79,e,2,1
400,79,e,1,2
401,78,e,1,1
402,76,a,1,4
403,75,a,1,3
404,76,a,1,4
405,79,e,1,2
406,78,e,1,1
407,79,e,1,2
408,77,e,1,1
409,76,a,1,4
410,77,e,1,1
411,76,a,1,4
412,75,a,1,3
413,76,a,1,4
414,74,a,1,3
415,73,a,1,2
416,74,a,1,3
417,71,a,1,1
418,72,a,1,2
419,70,a,1,1
420,71,a,1,1
421,68,d,1,3
422,69,d,1,4
423,69,d,1,4
424,70,a,1,1
426,74,g,11,1
426,74,a,1,3
427,74,a,1,3
428,72,a,1,2
429,69,d,1,4
430,69,d,1,4
431,67,d,1,3
432,67,d,1,3
433,67,d,1,3
434,64,d,1,1
435,76,a,1,4
436,76,a,1,4
437,72,a,1,2
438,69,d,1,4
439,67,d,1,3
440,66,d,1,2
441,66,d,1,2
442,66,d,1,2
443,67,d,1,3
444,62,g,1,4
445,71,a,1,1
446,69,d,1,4
447,62,g,1,4
448,72,a,1,2
449,71,a,1,1
450,62,g,1,4
451,74,a,1,3
452,71,a,1,1
453,69,d,1,4
454,73,a,1,2
455,74,a,1,3
456,73,a,1,2
457,74,a,1,3
458,72,a,1,2
459,69,d,1,4
460,69,d,1,4
461,67,d,1,3
462,67,d,1,3
463,67,d,1,3
464,75,a,1,3
465,76,a,1,4
466,75,a,1,3
467,76,a,1,4
468,72,a,1,2
469,69,d,1,4
470,67,d,1,3
471,66,d,1,2
472,66,d,1,2
473,66,d,1,2
474,67,d,1,3
475,71,a,1,1
476,74,a,1,3
477,76,a,1,4
478,79,e,1,2
479,72,a,1,2
480,71,a,1,1
481,72,a,1,2
482,69,d,1,4
483,67,d,1,3
484,66,d,1,2
485,67,d,1,3
486,69,d,1,4
487,71,a,1,1
488,72,d,3,4
488,74,a,3,1
